"name","category","evas","longitude","latitude"
"Aachen Hbf",2,"08000001",6.091499,50.7678
"Aachen Schanz",5,"08070704",6.07384,50.769862
"Aachen West",5,"08000404",6.070715,50.78036
"Aachen-Rothe Erde",4,"08000406",6.116475,50.770202
"Aalen Hbf",3,"08000002",10.096271,48.841013
"Abensberg",6,"08000410",11.84662,48.819456
"Achern",4,"08000412",8.065324,48.63399
"Achim",4,"08000413",9.030447,53.01599
"Achmer",6,"08000414",7.94216,52.390479
"Achterwehr",7,"08000416",9.964024,54.314913
"Adelebsen",6,"08000418",9.760044,51.57769
"Adelschlag",6,"08000419",11.211443,48.840759
"Adelsdorf (Mittelfr)",6,"08000420",10.687041,49.474944
"Adelsheim Nord",6,"08000423",9.392754,49.42149
"Adelsheim Ost",6,"08000424",9.395127,49.403123
"Adorf (Vogtl)",6,"08010001",12.2606778,50.3243953
"Affaltrach",6,"08000431",9.379012,49.137832
"Agatharied",6,"08000433",11.824472,47.765606
"Agathenburg",6,"08000434",9.531244,53.564111
"Aglasterhausen",7,"08007445",8.990838,49.350097
"Aha",6,"08000436",8.134349,47.833224
"Ahaus",5,"08000437",7.016453,52.081681
"Ahlen (Westf)",4,"08000441",7.895488,51.761062
"Ahlhorn",6,"08000442",8.209429,52.899321
"Ahlten (Han)",5,"08000443",9.904613,52.376062
"Ahrbrück",6,"08001209",6.972391,50.489679
"Ahrensburg",4,"08000446",10.236206,53.669171
"Ahrensburg-Gartenholz",5,"08000480",10.251786,53.688482
"Ahrensfelde",4,"08011003,08089188",13.565154,52.571375
"Ahrensfelde Friedhof",6,"08011004",13.573316,52.580882
"Ahrensfelde Nord",6,"08011005",13.581985,52.590685
"Ahrweiler",6,"08000448",7.10725844,50.5464083
"Ahrweiler Markt",6,"08000449",7.094229,50.544228
"Aichach",5,"08000452",11.122721,48.461117
"Aichstetten",6,"08000454",10.07494,47.887884
"Ainring",6,"08000459",12.964501,47.815033
"Albbruck",6,"08000463",8.131774,47.592235
"Albersdorf",7,"08000464",9.292151,54.14632
"Albersweiler (Pfalz)",6,"08000466",8.024059,49.218587
"Albig",6,"08000468",8.116579,49.771375
"Albrechtshof",5,"08080040",13.128917,52.549396
"Albshausen",6,"08000471",8.434869,50.545716
"Albsheim (Eis)",7,"08070096",8.17916572,49.5807479
"Albstadt Ebingen West",6,"08079089",8.99698,48.21139
"Albstadt-Ebingen",5,"08000473",9.026962,48.21029
"Albstadt-Laufen Ort",7,"08000474",8.917316,48.222859
"Albstadt-Lautlingen",6,"08000475",8.95462,48.213638
"Aldekerk",6,"08000477",6.412542,51.435759
"Aldingen",6,"08000481",8.713033,48.095845
"Aletshausen",7,"08000482",10.383631,48.201313
"Alexanderplatz",3,"08011155,08089001",13.410961,52.521481
"Alfeld (Leine)",4,"08000483",9.817779,51.981417
"Alfter-Impekoven",6,"08000495",7.019831,50.711016
"Alfter-Witterschlick",6,"08006516",7.026083,50.689698
"Algermissen",6,"08000488",9.96665955,52.2519634
"Alheim-Heinebach",6,"08002716",9.664423,51.045739
"Aligse",6,"08000489",9.979349,52.403462
"Allee-Center Leipzig",6,"08013070",12.291748,51.319158
"Allendorf (Dillkr)",7,"08000492",8.185486,50.743811
"Allensbach",5,"08000496",9.068852,47.714464
"Allermöhe",4,"08000779",10.158735,53.490356
"Allersberg (Rothsee)",6,"08000498",11.212573,49.262131
"Allmendingen",6,"08000499",9.722427,48.327735
"Alpen",7,"08000500",6.518041,51.583392
"Alpirsbach",6,"08000501",8.398251,48.343809
"Alsenz",6,"08000505",7.817189,49.727495
"Alsfeld (Oberhess)",5,"08000350",9.264297,50.750962
"Alsheim",5,"08000506",8.342462,49.765528
"Alt Hüttendorf",6,"08011011",13.783574,52.957591
"Alt Rosenthal",6,"08011014",14.278627,52.550403
"Alt-Reinickendorf",5,"08089103",13.349617,52.578091
"Altbach",3,"08000508",9.382384,48.720393
"Altdorf (b Nürnberg)",6,"08000509",11.35353,49.390006
"Altdorf West",6,"08000504",11.341467,49.391146
"Altdöbern",6,"08011016",14.009236,51.65278
